model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc_ovr_macro,log_loss,low_confidence_rate_below_060
TF-IDF + Logistic Regression,validation,0.8589743589743589,0.7953008095939288,0.8162362554286487,0.8047018114245006,0.8595587519795664,0.9228671117225954,0.6272663941455014,0.24358974358974358
TF-IDF + Logistic Regression,test,0.8717948717948718,0.820138417154498,0.8224750448788399,0.8160625424709346,0.8733293346671306,0.9306661556186295,0.5894778012155147,0.22435897435897437
TF-IDF + Calibrated Linear SVM,validation,0.9205128205128205,0.9235902297222498,0.8420880192323593,0.8736203529495662,0.9178355944149935,0.9198549656892278,0.48637120970271586,0.03076923076923077
TF-IDF + Calibrated Linear SVM,test,0.9320512820512821,0.9384904921667031,0.8647437917921793,0.8931859462756252,0.9301136508661763,0.9321490537303927,0.45221381687794854,0.03205128205128205
